Table 3. State Counts for Fentanyl and Fentanyl-Related Substances: 2017,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related substances submitted to laboratories from January 1, 2017, through December 31, 2017",,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,
3-Methylfentanyl,0,0,0,0,0,0,0,2,0,0,0,0,0,
4-Fluoroisobutyryl fentanyl,0,0,0,0,5,0,7,0,16,10,1,0,0,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetyl fentanyl,0,0,13,1,14,0,12,2,0,8,0,0,0,
Acryl fentanyl,4,0,0,5,9,0,4,0,0,0,2,0,0,
ANPP,2,0,0,0,24,0,2,7,2,4,0,0,0,
Benzodioxole fentanyl,2,0,0,0,0,0,0,0,0,0,0,0,0,
Benzoylbenzyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
Benzylfentanyl,0,0,0,0,1,0,0,0,1,3,0,0,0,
Butyryl fentanyl,2,0,0,0,0,0,2,0,0,18,6,0,0,
Carfentanil,0,0,0,1,7,2,2,0,4,447,14,0,2,
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyclopentyl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,
Cyclopropyl fentanyl,2,0,8,1,18,0,5,1,2,23,14,0,0,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,35,0,0,0,
Fentanyl,200,4,363,130,656,27,433,65,94,"1,525",136,1,16,
Fluorobutyryl fentanyl ,0,0,0,0,0,0,0,0,0,1,0,0,0,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,1,3,0,0,
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,3,0,0,198,14,0,0,
Furanyl fentanyl,10,0,3,11,18,2,18,6,29,281,40,0,5,
Furanyl/3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Methoxyacetyl fentanyl,12,0,0,0,7,0,1,0,1,91,12,0,1,
N-Methyl norfentanyl,1,0,0,0,0,0,0,0,0,0,0,0,0,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluoro acryl fentanyl,0,0,0,0,0,0,3,0,0,0,0,0,0,
p-Fluorobutyryl fentanyl,0,0,0,0,1,0,0,0,0,1,3,0,0,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,2,0,0,0,
Tetrahydrofuran fentanyl,0,0,0,0,0,0,0,0,0,4,1,0,0,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Valeryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drug,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,
3-Methylfentanyl,0,0,0,0,0,0,0,1,0,1,0,0,0,
4-Fluoroisobutyryl fentanyl,0,0,3,0,3,0,0,65,6,0,0,0,25,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetyl fentanyl,7,1,1,0,10,0,10,17,347,3,6,0,12,
Acryl fentanyl,141,144,50,2,45,15,0,6,0,8,34,0,34,
ANPP,6,8,1,0,18,1,0,16,26,2,3,0,2,
Benzodioxole fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benzoylbenzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benzylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Butyryl fentanyl,1,0,0,0,17,0,0,7,2,1,0,0,31,
Carfentanil,12,43,18,1,125,4,0,54,41,85,63,0,2,
cis-3-Methylfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,0,
Crotonyl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,0,
Cyclopentyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
Cyclopropyl fentanyl,0,4,34,1,78,2,0,7,29,5,9,1,6,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,3,4,0,0,0,0,
Fentanyl,"2,787","1,034",250,50,"2,370",215,288,"3,321","6,615",379,162,129,"1,738",
Fluorobutyryl fentanyl ,0,0,0,1,0,0,0,5,1,0,0,0,0,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,4,1,0,0,0,0,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoroisobutyryl fentanyl,0,4,0,0,4,0,0,3,5,0,0,0,0,
Furanyl fentanyl,144,42,42,20,88,11,4,378,30,11,35,0,24,
Furanyl/3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Methoxyacetyl fentanyl,1,5,24,0,17,2,0,23,18,0,2,0,7,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,2,0,0,0,0,0,
o-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,0,
o-Fluoro acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
p-Fluorobutyryl fentanyl,0,0,1,0,0,0,0,37,0,0,0,0,0,
Phenyl fentanyl,0,0,0,0,0,0,0,3,0,0,0,0,0,
Tetrahydrofuran fentanyl,0,0,0,0,0,1,0,2,0,0,0,0,4,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
trans-3-Methylfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,0,
Valeryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drug,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,
3-Methylfentanyl,0,0,0,0,5,0,2,0,0,620,0,0,122,
4-Fluoroisobutyryl fentanyl,0,0,0,1,565,0,26,0,0,111,0,4,261,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,5,0,0,0,
Acetyl fentanyl,0,0,0,82,184,0,18,0,1,572,0,0,247,
Acryl fentanyl,0,0,0,0,12,0,2,2,7,"1,213",0,0,60,
ANPP,0,1,0,1,121,0,63,0,0,271,0,0,18,
Benzodioxole fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benzoylbenzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benzylfentanyl,0,0,0,0,0,0,0,0,0,123,0,0,35,
Butyryl fentanyl,0,0,0,0,15,0,168,0,0,216,0,0,110,
Carfentanil,4,3,0,55,2,0,4,0,10,"4,522",2,4,164,
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,9,
Crotonyl fentanyl,0,0,0,0,1,0,0,0,0,39,0,0,0,
Cyclopentyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyclopropyl fentanyl,0,0,0,0,123,0,13,21,8,767,15,20,101,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,4,0,0,0,0,31,0,0,0,
Fentanyl,28,13,13,"1,952","3,924",27,"4,322",458,71,"11,906",42,45,"8,206",
Fluorobutyryl fentanyl ,0,0,0,0,17,0,0,0,0,22,0,0,0,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoroisobutyryl fentanyl,0,0,0,0,310,0,2,0,0,102,3,0,36,
Furanyl fentanyl,0,0,6,2,"1,423",0,64,24,19,"1,114",9,41,421,
Furanyl/3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,
Methoxyacetyl fentanyl,0,0,0,0,21,0,16,3,0,241,0,5,76,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Norfentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
o-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluoro acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
p-Fluorobutyryl fentanyl,0,0,0,0,92,0,0,0,0,0,0,0,6,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,63,0,3,9,
Tetrahydrofuran fentanyl,0,0,0,0,2,0,0,0,0,2,0,0,1,
Thiofuranyl fentanyl,0,0,0,0,0,0,1,0,0,0,0,0,0,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,7,
Valeryl fentanyl,0,0,0,0,3,0,0,0,0,0,0,0,2,
Drug,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming, ,
3-Methylfentanyl,0,0,0,0,0,0,0,2,0,4,0,0, ,
4-Fluoroisobutyryl fentanyl,12,11,0,1,4,0,3,407,0,2,0,0,  ,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Acetyl fentanyl,28,22,0,11,2,0,4,15,0,5,13,0, ,
Acryl fentanyl,0,23,0,83,2,0,0,13,2,12,109,0, ,
ANPP,69,2,0,20,0,0,0,8,2,1,2,0, ,
Benzodioxole fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Benzoylbenzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Benzylfentanyl,1,0,0,0,3,0,0,1,0,0,0,0, ,
Butyryl fentanyl,3,4,0,2,2,0,0,6,2,3,0,0, ,
Carfentanil,4,21,1,23,11,0,0,73,1,7,19,0, ,
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,  ,
Cyclopentyl fentanyl,0,0,0,0,0,0,0,0,0,0,1,0, ,
Cyclopropyl fentanyl,5,13,0,13,5,2,0,39,0,3,47,0, ,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Fentanyl,528,664,6,530,288,13,334,"2,049",109,238,390,8, ,
Fluorobutyryl fentanyl ,0,1,0,0,0,0,0,0,0,0,2,0, ,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Fluoroisobutyryl fentanyl,0,6,0,0,6,0,0,17,0,0,1,0, ,
Furanyl fentanyl,25,122,2,51,35,3,3,614,11,20,82,0, ,
Furanyl/3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,6,0,0,  ,
Isobutyryl fentanyl,0,0,1,0,0,0,0,0,0,3,0,0, ,
Methoxyacetyl fentanyl,11,15,0,50,2,1,3,12,1,2,2,0, ,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
o-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
o-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
o-Fluoro acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
p-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,2,0,0,0,0, ,
Phenyl fentanyl,0,0,0,0,7,0,0,0,0,1,0,0, ,
Tetrahydrofuran fentanyl,0,0,0,3,0,0,0,0,0,0,0,0, ,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
Valeryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0, ,
 ,,,,,,,,,,,,,,
ANPP=4-Anilino-N-phenethyl-4-piperidine,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Methodology: A detailed description of the NFLIS estimation methodology may be found in the Statistical Methodology (September 2017) publication at https://www.nflis.deadiversion.usdoj.gov/DesktopModules/ReportDownloads/Reports/NFLIS2017StatMethodology.pdf. Additional details about the NFLIS data may be found in the Questions and Answers document at https://www.nflis.deadiversion.usdoj.gov/DesktopModules/ReportDownloads/Reports/NFLISPublicDataQA.pdf.,,,,,,,,,,,,, ,
"Source: U.S. Drug Enforcement Administration, Diversion Control Division, National Forensic Laboratory Information System, 2017. Data generated: August 7, 2018.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Suggested Citation: U.S. Drug Enforcement Administration, Diversion Control Division. (2018). Table 3. State counts for fentanyl and fentanyl-related substances: 2017. Retrieved from the NFLIS Public Resource Library at https://www.nflis.deadiversion.usdoj.gov/Resources/NFLISPublicResourceLibrary.aspx",,,,,,,,,,,,,,
